match_api_id,home_team_api_id,away_team_api_id,season,date,result_label,away_Attacker_rating,home_Attacker_rating,away_Defender_rating,home_Defender_rating,away_Goalkeeper_rating,home_Goalkeeper_rating
493017,8203,9987,2008/2009,2/27/09 0:00,HOME_WIN,68.25,59,61,53.33333333,62,58
493025,9984,8342,2008/2009,3/8/09 0:00,AWAY_WIN,70.5,66,67.33333333,64,73,64
493027,8635,10000,2008/2009,3/7/09 0:00,HOME_WIN,58,67,56.66666667,70.5,61,67
493034,8203,8635,2008/2009,3/13/09 0:00,HOME_WIN,69.5,62.33333333,69.25,55,67,61
493040,10000,9999,2008/2009,3/14/09 0:00,DRAW,64,58,58.5,61.33333333,64,61
493045,9991,10000,2008/2009,3/22/09 0:00,HOME_WIN,57,67.5,55,66.66666667,61,71
493048,9999,8203,2008/2009,3/21/09 0:00,HOME_WIN,62.33333333,64,55,58.5,61,64
493061,8635,8342,2008/2009,4/12/09 0:00,HOME_WIN,70.5,69,67.33333333,71.25,73,67
493062,9999,9987,2008/2009,4/10/09 0:00,HOME_WIN,66.75,64,65.5,58.5,62,64
493080,9984,9987,2008/2009,4/26/09 0:00,AWAY_WIN,70,62,65.6,63.33333333,62,64
493082,9999,9991,2008/2009,4/26/09 0:00,AWAY_WIN,69,65.5,66,58.5,71,64
493089,10000,9985,2008/2009,5/2/09 0:00,DRAW,56,58,71,58.25,63,61
493092,9991,9984,2008/2009,5/2/09 0:00,HOME_WIN,62,68,63.33333333,67.33333333,64,71
493094,10001,9999,2008/2009,5/2/09 0:00,HOME_WIN,65,66,58.5,63,64,67
493097,9985,8342,2008/2009,5/9/09 0:00,HOME_WIN,66.5,74,66.5,68.66666667,73,63
493103,8635,9999,2008/2009,5/9/09 0:00,HOME_WIN,64,69.5,60,69.2,64,67
493105,9984,10001,2008/2009,5/9/09 0:00,HOME_WIN,66,62,63,63.33333333,67,62
493106,9987,8635,2008/2009,5/16/09 0:00,AWAY_WIN,69,66.66666667,71.25,66.2,67,62
493107,9991,9985,2008/2009,5/16/09 0:00,AWAY_WIN,74,69,66.6,67,63,71
665321,9984,9991,2009/2010,8/2/09 0:00,AWAY_WIN,69.5,65,67.5,64.33333333,71,64
