,match_api_id,home_team_api_id,away_team_api_id,season,date,result_label,away_Attacker_rating,home_Attacker_rating,away_Defender_rating,home_Defender_rating
145,493017,8203,9987,2008/2009,2009-02-27 00:00:00,HOME_WIN,68.25,59.0,61.0,53.3333333333
153,493025,9984,8342,2008/2009,2009-03-08 00:00:00,AWAY_WIN,70.5,66.0,67.3333333333,64.0
155,493027,8635,10000,2008/2009,2009-03-07 00:00:00,HOME_WIN,58.0,67.0,56.6666666667,70.5
162,493034,8203,8635,2008/2009,2009-03-13 00:00:00,HOME_WIN,69.5,62.3333333333,69.25,55.0
168,493040,10000,9999,2008/2009,2009-03-14 00:00:00,DRAW,64.0,58.0,58.5,61.3333333333
173,493045,9991,10000,2008/2009,2009-03-22 00:00:00,HOME_WIN,57.0,67.5,55.0,66.6666666667
176,493048,9999,8203,2008/2009,2009-03-21 00:00:00,HOME_WIN,62.3333333333,64.0,55.0,58.5
189,493061,8635,8342,2008/2009,2009-04-12 00:00:00,HOME_WIN,70.5,69.0,67.3333333333,71.25
190,493062,9999,9987,2008/2009,2009-04-10 00:00:00,HOME_WIN,66.75,64.0,65.5,58.5
217,493080,9984,9987,2008/2009,2009-04-26 00:00:00,AWAY_WIN,70.0,62.0,65.6,63.3333333333
219,493082,9999,9991,2008/2009,2009-04-26 00:00:00,AWAY_WIN,69.0,65.5,66.0,58.5
226,493089,10000,9985,2008/2009,2009-05-02 00:00:00,DRAW,56.0,58.0,71.0,58.25
229,493092,9991,9984,2008/2009,2009-05-02 00:00:00,HOME_WIN,62.0,68.0,63.3333333333,67.3333333333
231,493094,10001,9999,2008/2009,2009-05-02 00:00:00,HOME_WIN,65.0,66.0,58.5,63.0
234,493097,9985,8342,2008/2009,2009-05-09 00:00:00,HOME_WIN,66.5,74.0,66.5,68.6666666667
240,493103,8635,9999,2008/2009,2009-05-09 00:00:00,HOME_WIN,64.0,69.5,60.0,69.2
242,493105,9984,10001,2008/2009,2009-05-09 00:00:00,HOME_WIN,66.0,62.0,63.0,63.3333333333
243,493106,9987,8635,2008/2009,2009-05-16 00:00:00,AWAY_WIN,69.0,66.6666666667,71.25,66.2
244,493107,9991,9985,2008/2009,2009-05-16 00:00:00,AWAY_WIN,74.0,69.0,66.6,67.0
308,665321,9984,9991,2009/2010,2009-08-02 00:00:00,AWAY_WIN,69.5,65.0,67.5,64.3333333333
309,665322,9994,10000,2009/2010,2009-08-01 00:00:00,DRAW,63.0,68.5,63.5,64.6666666667
310,665323,8571,8635,2009/2010,2009-08-01 00:00:00,AWAY_WIN,71.5,66.0,71.0,0.0
313,665411,8342,8635,2009/2010,2009-10-04 00:00:00,HOME_WIN,71.5,70.0,69.0,68.3333333333
317,665417,8203,9994,2009/2010,2009-10-03 00:00:00,HOME_WIN,67.3333333333,65.5,64.6666666667,57.5
319,665421,9993,10001,2009/2010,2009-10-03 00:00:00,HOME_WIN,63.5,62.5,65.0,64.5
320,665425,8342,9991,2009/2010,2009-10-18 00:00:00,HOME_WIN,69.5,68.5,67.6666666667,68.5
322,665427,9987,8203,2009/2010,2009-10-18 00:00:00,AWAY_WIN,65.5,68.0,57.6666666667,65.0
323,665429,10000,9993,2009/2010,2009-10-17 00:00:00,HOME_WIN,62.5,63.6666666667,64.5,63.6666666667
324,665430,9994,9984,2009/2010,2009-10-17 00:00:00,DRAW,64.5,68.0,65.0,65.0
326,665435,10001,9985,2009/2010,2009-10-17 00:00:00,HOME_WIN,77.0,64.0,68.5,63.5
327,665438,9985,10000,2009/2010,2009-10-24 00:00:00,DRAW,63.6666666667,67.0,63.3333333333,70.0
330,665443,9984,8571,2009/2010,2009-10-24 00:00:00,DRAW,64.0,65.0,63.5,65.0
332,665445,8203,8635,2009/2010,2009-10-25 00:00:00,AWAY_WIN,74.0,65.5,67.75,57.6666666667
335,665536,8635,9994,2009/2010,2009-10-31 00:00:00,HOME_WIN,67.5,74.0,57.5,68.6
338,665541,9991,9993,2009/2010,2009-11-01 00:00:00,AWAY_WIN,62.5,69.5,65.0,67.6666666667
339,665543,8571,8203,2009/2010,2009-10-31 00:00:00,HOME_WIN,65.5,64.0,57.6666666667,63.3333333333
341,665548,9985,8342,2009/2010,2009-11-08 00:00:00,HOME_WIN,69.0,77.0,67.6,66.2
344,665554,9984,10001,2009/2010,2009-11-07 00:00:00,HOME_WIN,64.0,65.0,65.0,64.0
345,665556,9994,8571,2009/2010,2009-11-07 00:00:00,DRAW,64.0,67.6666666667,63.3333333333,0.0
349,665570,8635,9999,2009/2010,2009-11-21 00:00:00,HOME_WIN,62.5,73.5,60.0,68.6
351,665574,10000,8203,2009/2010,2009-11-22 00:00:00,HOME_WIN,65.5,64.0,59.3333333333,60.6666666667
352,665575,9991,9985,2009/2010,2009-11-21 00:00:00,HOME_WIN,71.5,69.0,66.75,66.6666666667
356,665586,8635,8571,2009/2010,2009-11-27 00:00:00,HOME_WIN,66.0,72.6666666667,63.6666666667,70.6
359,665591,9991,9984,2009/2010,2009-11-28 00:00:00,HOME_WIN,0.0,70.0,64.0,68.0
361,665596,9993,9999,2009/2010,2009-11-28 00:00:00,HOME_WIN,66.0,67.5,61.5,65.6
362,665598,9985,9993,2009/2010,2009-12-05 00:00:00,DRAW,67.5,69.0,65.6,70.6666666667
365,665603,9984,8635,2009/2010,2009-12-06 00:00:00,AWAY_WIN,72.0,64.0,70.6,63.75
366,665604,9994,8342,2009/2010,2009-12-06 00:00:00,AWAY_WIN,70.0,68.0,69.4,66.0
372,665619,10000,9984,2009/2010,2009-12-13 00:00:00,HOME_WIN,0.0,67.0,64.4,61.0
376,665626,8635,8342,2009/2010,2010-02-03 00:00:00,HOME_WIN,70.0,73.0,69.6,70.6
379,665632,9994,9991,2009/2010,2009-12-19 00:00:00,AWAY_WIN,69.0,68.0,68.0,66.0
