,match_api_id,home_team_api_id,away_team_api_id,season,date,result_label,away_Goalkeeper_rating,home_Goalkeeper_rating
145,493017,8203,9987,2008/2009,2009-02-27 00:00:00,HOME_WIN,62.0,58.0
153,493025,9984,8342,2008/2009,2009-03-08 00:00:00,AWAY_WIN,73.0,64.0
155,493027,8635,10000,2008/2009,2009-03-07 00:00:00,HOME_WIN,61.0,67.0
162,493034,8203,8635,2008/2009,2009-03-13 00:00:00,HOME_WIN,67.0,61.0
168,493040,10000,9999,2008/2009,2009-03-14 00:00:00,DRAW,64.0,61.0
173,493045,9991,10000,2008/2009,2009-03-22 00:00:00,HOME_WIN,61.0,71.0
176,493048,9999,8203,2008/2009,2009-03-21 00:00:00,HOME_WIN,61.0,64.0
189,493061,8635,8342,2008/2009,2009-04-12 00:00:00,HOME_WIN,73.0,67.0
190,493062,9999,9987,2008/2009,2009-04-10 00:00:00,HOME_WIN,62.0,64.0
217,493080,9984,9987,2008/2009,2009-04-26 00:00:00,AWAY_WIN,62.0,64.0
219,493082,9999,9991,2008/2009,2009-04-26 00:00:00,AWAY_WIN,71.0,64.0
226,493089,10000,9985,2008/2009,2009-05-02 00:00:00,DRAW,63.0,61.0
229,493092,9991,9984,2008/2009,2009-05-02 00:00:00,HOME_WIN,64.0,71.0
231,493094,10001,9999,2008/2009,2009-05-02 00:00:00,HOME_WIN,64.0,67.0
234,493097,9985,8342,2008/2009,2009-05-09 00:00:00,HOME_WIN,73.0,63.0
240,493103,8635,9999,2008/2009,2009-05-09 00:00:00,HOME_WIN,64.0,67.0
242,493105,9984,10001,2008/2009,2009-05-09 00:00:00,HOME_WIN,67.0,62.0
243,493106,9987,8635,2008/2009,2009-05-16 00:00:00,AWAY_WIN,67.0,62.0
244,493107,9991,9985,2008/2009,2009-05-16 00:00:00,AWAY_WIN,63.0,71.0
308,665321,9984,9991,2009/2010,2009-08-02 00:00:00,AWAY_WIN,71.0,64.0
309,665322,9994,10000,2009/2010,2009-08-01 00:00:00,DRAW,67.0,73.0
310,665323,8571,8635,2009/2010,2009-08-01 00:00:00,AWAY_WIN,71.0,64.0
313,665411,8342,8635,2009/2010,2009-10-04 00:00:00,HOME_WIN,71.0,73.0
317,665417,8203,9994,2009/2010,2009-10-03 00:00:00,HOME_WIN,61.0,70.0
319,665421,9993,10001,2009/2010,2009-10-03 00:00:00,HOME_WIN,67.0,64.0
320,665425,8342,9991,2009/2010,2009-10-18 00:00:00,HOME_WIN,71.0,73.0
322,665427,9987,8203,2009/2010,2009-10-18 00:00:00,AWAY_WIN,70.0,64.0
323,665429,10000,9993,2009/2010,2009-10-17 00:00:00,HOME_WIN,64.0,67.0
324,665430,9994,9984,2009/2010,2009-10-17 00:00:00,DRAW,62.0,73.0
326,665435,10001,9985,2009/2010,2009-10-17 00:00:00,HOME_WIN,70.0,67.0
327,665438,9985,10000,2009/2010,2009-10-24 00:00:00,DRAW,67.0,63.0
330,665443,9984,8571,2009/2010,2009-10-24 00:00:00,DRAW,64.0,62.0
332,665445,8203,8635,2009/2010,2009-10-25 00:00:00,AWAY_WIN,71.0,70.0
335,665536,8635,9994,2009/2010,2009-10-31 00:00:00,HOME_WIN,61.0,71.0
