trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 1.0}",20,0,-227.37170652066538,"{0: 10, 1: 0, 2: 4, 3: 2, 4: 4}",0
2,False,"{'a': 0.7, 'e': 0.7}",20,0,-115.95052949941655,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
3,False,"{'a': 0.7, 'e': 0.6038590053932679}",25,7,-117.53907246306235,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 2}",1
4,False,"{'a': 0.7, 'e': 0.5391404727458686}",30,0,-115.60204321424081,"{0: 24, 1: 1, 2: 2, 3: 0, 4: 3}",0
5,False,"{'a': 0.7, 'e': 0.48999999999999994}",25,0,-152.11315098778076,"{0: 14, 1: 2, 2: 4, 3: 4, 4: 1}",0
6,False,"{'a': 0.7, 'e': 0.45043143074671305}",20,0,-27.652727983898654,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
7,False,"{'a': 0.7, 'e': 0.4174161401905565}",20,16,10.409274033028314,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.7, 'e': 0.389195613009222}",20,0,-20.582498542917676,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
9,False,"{'a': 0.7, 'e': 0.36464569839454675}",30,5,-36.297821896527445,"{0: 16, 1: 5, 2: 4, 3: 0, 4: 0}",1
10,False,"{'a': 0.7, 'e': 0.3429999999999999}",35,27,-4.841656760060392,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
11,False,"{'a': 0.7, 'e': 0.32371065343061767}",20,0,-26.233881295226404,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
12,False,"{'a': 0.7, 'e': 0.30637146934505133}",25,0,-92.03791911323479,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
13,False,"{'a': 0.7, 'e': 0.29067244935263864}",30,0,-7.085112518305615,"{0: 26, 1: 2, 2: 1, 3: 1, 4: 0}",0
14,False,"{'a': 0.7, 'e': 0.27637136313902483}",20,11,7.937947354812986,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.7, 'e': 0.26327519141414163}",20,8,10.681511785543673,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.7, 'e': 0.2512275648100518}",20,0,-107.41425286101446,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
17,False,"{'a': 0.7, 'e': 0.24009999999999995}",25,0,-27.245049460885742,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
18,False,"{'a': 0.7, 'e': 0.22978562547073061}",25,3,-4.99319416852399,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 0}",1
19,False,"{'a': 0.7, 'e': 0.22019458875346462}",20,8,-52.92100476258261,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 1}",1
20,False,"{'a': 0.7, 'e': 0.21125062877026995}",25,5,17.61105820370556,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
21,False,"{'a': 0.7, 'e': 0.20288847380453098}",30,7,13.790194720999358,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
22,False,"{'a': 0.7, 'e': 0.1950518361968791}",20,0,-53.149175872262404,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
23,False,"{'a': 0.7, 'e': 0.18769184596455407}",30,0,-62.96440168801705,"{0: 24, 1: 2, 2: 2, 3: 1, 4: 1}",0
24,False,"{'a': 0.7, 'e': 0.18076581238097575}",35,24,-2.8098981551092277,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
25,False,"{'a': 0.7, 'e': 0.17423623409158231}",25,10,-36.05223113043041,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
26,False,"{'a': 0.7, 'e': 0.16806999999999994}",20,0,17.57010137773734,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
27,False,"{'a': 0.7, 'e': 0.16223773829705676}",30,12,37.025288325556645,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.7, 'e': 0.1567132817581811}",25,6,-55.72509307984119,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 1}",1
