trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-229.7679049369665,"{0: 16, 1: 3, 2: 5, 3: 3, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-77.42928049584405,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-84.84829066981138,"{0: 8, 1: 5, 2: 7, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-145.21598447271745,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-57.01924543657304,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-79.64673682019317,"{0: 14, 1: 5, 2: 5, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-200.02342438557918,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 4}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-119.76188244389516,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-132.60562598814116,"{0: 9, 1: 4, 2: 4, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-92.27064973431175,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-125.90044950065835,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-109.42558774133863,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,15,8.404729361040307,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,6,-97.47465785931138,"{0: 15, 1: 4, 2: 2, 3: 2, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-132.98063403498182,"{0: 10, 1: 4, 2: 10, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,8,-66.30289417010695,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-112.16993843300628,"{0: 13, 1: 5, 2: 6, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-77.98385629138694,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-144.69605727005958,"{0: 16, 1: 0, 2: 6, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-101.96208996131463,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",20,0,-63.88699707339893,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,0,-55.876848473855055,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",25,0,-167.25063741051937,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
4,True,"{'a': 0, 'e': 0}",20,0,-93.28999245697608,"{0: 11, 1: 5, 2: 2, 3: 1, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",25,0,-157.42774136139235,"{0: 12, 1: 4, 2: 5, 3: 3, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",25,0,-142.54450056899825,"{0: 14, 1: 1, 2: 7, 3: 2, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",25,0,-127.71971339335605,"{0: 13, 1: 3, 2: 8, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",20,0,-202.84323966606073,"{0: 7, 1: 2, 2: 8, 3: 0, 4: 3}",0
9,True,"{'a': 0, 'e': 0}",20,0,-87.73834691606741,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",20,0,-155.05528450790104,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
